red_fighter_name,blue_fighter_name,date,red_fighter_total_pts,blue_fighter_total_pts
PAYTON TALBOTT,NICK AGUIRRE,11/18/2023,"['19', '19', '19']","['19', '19', '19']"
JALIN TURNER,BOBBY GREEN,12/02/2023,"['-', '-', '-']","['-', '-', '-']"
SHANA DOBSON,CASEY O'NEILL,02/20/2021,"['9', '9', '9']","['10', '10', '10']"
GNACIO BAHAMONDES,CHRISTOSGIAGOS,04/06/2024,"['-', '-', '-']","['-', '-', '-']"
WALT HARRIS,MARCIN TYBURA,06/05/2021,"['-', '-', '-']","['-', '-', '-']"
ANDRE EWELL,CHRISGUTIERREZ,02/13/2021,"['26', '28', '27']","['30', '29', '30']"
DUSTINPOIRIER,CONOR MCGREGOR,01/24/2021,"['9', '9', '9']","['10', '10', '10']"
TALTUIVASA,MARCIN TYBURA,03/16/2024,"['-', '-', '-']","['-', '-', '-']"
PHILHAWES,KYLEDAUKAUS,05/08/2021,"['30', '30', '29']","['26', '26', '27']"
FRANCIS NGANNOU,CIRYL GANE,01/22/2022,"['48', '49', '48']","['47', '46', '47']"
MISHA CIRKUNOV,ALONZOMENIFIELD,10/15/2022,"['-', '-', '-']","['-', '-', '-']"
ALJAMAIN STERLING,TIDILLASHAW,10/23/2022,"['10', '10', '10']","['8', '8', '8']"
CHRISTOS GIAGOS,SEAN SORIANO,05/15/2021,"['9', '9', '10']","['10', '10', '9']"
ILIR LATIFI,ALEKSEIOLEINIK,10/01/2022,"['30', '30', '30']","['27', '27', '27']"
ANTHONYSMITH,VITORPETRINO,05/04/2024,"['-', '-', '-']","['-', '-', '-']"
MELISSA MARTINEZ,ELISE REED,09/10/2022,"['28', '28', '28']","['29', '29', '29']"
RODRIGONASCIMENTO,DONTALEMAYES,11/04/2023,"['30', '29', '29']","['27', '28', '28']"
MOHAMMAD YAHYA,TREVOR PEEK,10/21/2023,"['28', '27', '27']","['29', '30', '30']"
MARIYA AGAPOVA,GILLIAN ROBERTSON,09/17/2022,"['10', '10', '10']","['9', '9', '9']"
JOAQUIM SILVA,DRAKKARKLOSE,05/04/2024,"['28', '28', '28']","['29', '29', '29']"
TABATHA RICCI,TECIAPENNINGTON,05/11/2024,"['29', '29', '28']","['28', '28', '29']"
KEVIN HOLLAND,JACARE SOUZA,12/12/2020,"['-', '-', '-']","['-', '-', '-']"
JOSEALDO,MARLON VERA,12/19/2020,"['29', '29', '29']","['28', '28', '28']"
RINAT FAKHRETDINOV,ANDREASMICHAILIDIS,06/04/2022,"['30', '30', '30']","['27', '26', '26']"
BETHE CORREIA,KAROL ROSA,10/02/2021,"['27', '26', '27']","['30', '30', '30']"
KAI KARA-FRANCE,BRANDON ROYVAL,09/27/2020,"['9', '9', '9']","['10', '10', '10']"
KEVIN HOLLAND,KYLEDAUKAUS,10/02/2021,"['-', '-', '-']","['-', '-', '-']"
LIANG NA,SILVANA GOMEZ JUAREZ,06/12/2022,"['-', '-', '-']","['-', '-', '-']"
TATSURO TAIRA,JESUS AGUILAR,02/04/2023,"['-', '-', '-']","['-', '-', '-']"
CLAUDIO SILVA,JAMESKRAUSE,10/18/2020,"['27', '27', '27']","['30', '30', '30']"
CHRISGUTIERREZ,FELIPE COLARES,10/09/2021,"['30', '30', '28']","['27', '27', '29']"
GADZHIMURADANTIGULOV,MAXIM GRISHIN,10/18/2020,"['9', '9', '9']","['10', '10', '10']"
MAURICIORUA,IHOR POTIERIA,01/21/2023,"['-', '-', '-']","['-', '-', '-']"
DAVID ONAMA,GABRIEL SANTOS,06/24/2023,"['9', '9', '9']","['10', '10', '10']"
ANDRELARLOVSKI,JAKE COLLIER,04/30/2022,"['27', '29', '29']","['30', '28', '28']"
ROSENAMAJUNAS,CARLA ESPARZA,05/07/2022,"['48', '46', '47']","['47', '49', '48']"
MANUEL TORRES,NIKOLASMOTTA,06/17/2023,"['-', '-', '-']","['-', '-', '-']"
MIRANDA,JASMINE,06/10/2023,"['28', '28', '28']","['29', '29', '29']"
DEVONTESMITH,LUDOVIT KLEIN,03/05/2022,"['29', '28', '27']","['28', '29', '30']"
NASSOURDINE IMAVOV,CHRIS CURTIS,06/10/2023,"['10', '10', '10']","['9', '9', '9']"
PAT SABATINI,LUCAS ALMEIDA,06/17/2023,"['10', '10', '10']","['8', '8', '8']"
CHARLESOLIVEIRA,JUSTIN GAETHJE,05/07/2022,"['-', '-', '-']","['-', '-', '-']"
ROB FONT,MARLON VERA,04/30/2022,"['47', '46', '46']","['48', '49', '49']"
AUSTEN LANE,JUSTIN TAFA,06/24/2023,"['-', '-', '-']","['-', '-', '-']"
JAMIE MULLARKEY,FARESZIAM,10/18/2020,"['28', '28', '28']","['29', '29', '29']"
ALEXANDR ROMANOV,JAREDVANDERAA,10/09/2021,"['10', '10', '10']","['9', '9', '9']"
GREGORYRODRIGUES,BRUNNOFERREIRA,01/21/2023,"['-', '-', '-']","['-', '-', '-']"
GLOVER TEIXEIRA,JAMAHAL HILL,01/21/2023,"['44', '44', '44']","['50', '50', '50']"
JIMMY CRUTE,MODESTASBUKAUSKASS,10/18/2020,"['-', '-', '-']","['-', '-', '-']"
ALEX OLIVEIRA,NIKO PRICE,10/02/2021,"['28', '28', '28']","['29', '29', '29']"
RAMONA PASCUAL,JOSELYNE EDWARDS,06/12/2022,"['28', '27', '28']","['29', '30', '29']"
ERIN BLANCHEIELD,JJALDRICH,06/04/2022,"['9', '9', '6']","['10', '10', '10']"
DOMINICK REYES,JAN BLACHOWICZ,09/27/2020,"['10', '9', '9']","['9', '10', '10']"
DEVONTESMITH,JAMIE MULLARKEY,10/02/2021,"['10', '10', '10']","['9', '9', '9']"
STEPHENTHOMPSON,GEOFFNEAL,12/19/2020,"['50', '50', '50']","['45', '45', '45']"
MACKENZIEDERN,VIRNA JANDIROBA,12/12/2020,"['29', '29', '29']","['28', '28', '28']"
TERRANCEMCKINNEY,ESTEBAN RIBOVICS,05/11/2024,"['-', '-', '-']","['-', '-', '-']"
TREY OGDEN,DANIELZELLHUBER,09/17/2022,"['30', '29', '30']","['27', '28', '27']"
TIM ELLIOTT,MUHAMMADMOKAEY,10/21/2023,"['19', '20', '20']","['19', '18', '18']"
ELVES BRENER,MYKTYBEKOROLBAI,05/04/2024,"['27', '27', '27']","['3Q29', '3Q29', '3Q29']"
ROMANDOLIDZE,JOHN ALLAN,12/05/2020,"['29', '30', '28']","['28', '27', '29']"
JOSE ALDO,IONATHAN MARTINEZ,05/04/2024,"['30', '30', '30']","['27', '27', '27']"
GABRIEL BONFIM,NICOLASDALBY,11/04/2023,"['10', '10', '10']","['8', '9', '9']"
CHAD ANHELIGER,ALATENGHEILI,09/10/2022,"['27', '27', '27']","['30', '30', '30']"
JOAQUIM SILVA,JESSE RONSON,10/01/2022,"['10', '10', '10']","['9', '9', '9']"
PETR YAN,SEAN O'MALLEY,10/23/2022,"['28', '28', '29']","['29', '29', '28']"
MARINARODRIGUEZ,MICHELLEWATERSON,05/08/2021,"['48', '49', '49']","['47', '46', '46']"
LUDOVITKLEIN,MICHAELTRIZANO,05/08/2021,"['28', '28', '27']","['29', '29', '30']"
RAPHAEL ASSUNCAO,VICTOR HENRY,10/15/2022,"['30', '30', '30']","['27', '27', '27']"
MOHAMMEDUSMAN,MICKPARKIN,03/23/2024,"['28', '28', '28']","['29', '29', '29']"
ODE OSBOURNE,JEROME RIVERA,02/06/2021,"['-', '-', '-']","['-', '-', '-']"
POLYANA VIANA,MALLORYMARTIN,02/13/2021,"['-', '-', '-']","['-', '-', '-']"
BENEIL DARIUSH,ARMANTSARUKYAN,12/02/2023,"['-', '-', '-']","['-', '-', '-']"
JAIRZINHO ROZENSTRUIK,AUGUSTO SAKAI,06/05/2021,"['-', '-', '-']","['-', '-', '-']"
MORGANCHARRIERE,CHEPEMARISCAL,04/06/2024,"['28', '30', '28']","['29', '27', '29']"
NATE LANDWEHR,JULIAN EROSA,02/20/2021,"['-', '-', '-']","['-', '-', '-']"
PEDRO FALCAO,VICTOR HUGO,04/06/2024,"['28', '27', '28']","['29', '30', '29']"
MOVSAR EVLOEV,HAKEEM DAWODU,06/12/2021,"['29', '29', '29']","['27', '27', '27']"
CHASEHOOPER,JORDAN LEAVITT,11/18/2023,"['-', '-', '-']","['-', '-', '-']"
KHALID TAHA,CRISTIAN QUINONEZ,09/03/2022,"['-', '-', '-']","['-', '-', '-']"
SERGEIPAVLOVICH,TOM ASPINALL,11/11/2023,"['-', '-', '-']","['-', '-', '-']"
YOUSSEFZALAL,DA'MON BLACKSHEAR,08/13/2022,"['28', '28', '28']","['28', '28', '29']"
RAONI BARCELOS,TIMUR VALIEV,06/26/2021,"['28', '28', '28']","['29', '29', '28']"
TREVIN GILES,DRICUSDUPLESSIS,07/10/2021,"['9', '9', '9']","['10', '10', '10']"
AORIQILENG,JAYPERRIN,08/20/2022,"['29', '29', '29']","['28', '28', '28']"
TATIANA SUAREZ,MONTANA DELA ROSA,02/25/2023,"['10', '10', '10']","['9', '9', '9']"
PAUL CRAIG,ANDRE MUNIZ,07/22/2023,"['9', '9', '9']","['10', '10', '10']"
JOESOLECKI,CARL DEATON,02/25/2023,"['10', '10', '10']","['9', '9', '9']"
ZYGIMANTAS RAMASKA,NATHAN FLETCHER,08/24/2024,"['-', '-', '-']","['-', '-', '-']"
JESSICA-ROSECLARK,JOSELYNE EDWARDS,10/23/2021,"['29', '30', '30']","['28', '27', '27']"
HOLLYHOLM,MAYRA BUENO SILVA,07/15/2023,"['10', '10', '10']","['9', '9', '9']"
BRANDON MORENO,ALEXANDREPANTOJA,07/08/2023,"['49', '47', '47']","['46', '48', '48']"
SHAMILGAMZATOV,MICHAL OLEKSIEJCZUK,10/30/2021,"['-', '-', '-']","['-', '-', '-']"
LI JINGLIANG,CARLOSPRATES,08/18/2024,"['9', '9', '9']","['10', '10', '10']"
SAM PATTERSON,YANALASHMOUZ,03/18/2023,"['-', '-', '-']","['-', '-', '-']"
JAI HERBERT,LUDOVIT KLEIN,03/18/2023,"['28', '29', '28']","['28', '27', '28']"
ILIA TOPURIA,MAX HOLLOWAY,10/26/2024,"['20', '20', '19']","['18', '18', '19']"
ALEXANDER VOLKOV,MARCIN TYBURA,10/30/2021,"['30', '30', '29']","['27', '27', '28']"
MAXHOLLOWAY,YAIR RODRIGUEZ,11/13/2021,"['48', '49', '48']","['47', '46', '47']"
-,-,04/09/2022,"['28', '28', '28']","['29', '29', '29']"
LINA LANSBERG,PANNIE KIANZAD,04/16/2022,"['28', '28', '28']","['29', '29', '29']"
PAT SABATINI,TUCKER LUTZ,11/20/2021,"['30', '30', '30']","['26', '27', '27']"
IAN GARRY,DARIAN WEEKS,04/09/2022,"['29', '30', '30']","['28', '27', '27']"
CHIDI NIOKUANI,JARED GOODEN,10/12/2024,"['30', '30', '30']","['27', '27', '27']"
JESSICA PENNE,TABATHA RICCI,03/04/2023,"['9', '9', '9']","['10', '10', '10']"
FELICIA SPENCER,LEAH LETSON,11/13/2021,"['20', '20', '20']","['18', '18', '18']"
-,-,01/22/2022,"['-', '-', '-']","['-', '-', '-']"
LOMALOOKBOONMEE,LOOPY GODINEZ,11/20/2021,"['27', '27', '27']","['30', '30', '30']"
MOUNIR LAZZEZ,ANGELOOSA,04/16/2022,"['30', '30', '30']","['27', '27', '27']"
ORDAN WRIGHT,MARC-ANDRE BARRIAULT,04/23/2022,"['-', '-', '-']","['-', '-', '-']"
JACK SHORE,MAKWAN AMIRKHANI,03/18/2023,"['9', '9', '9']","['10', '10', '10']"
ARIANELIPSKI,MELISSA GATTO,07/01/2023,"['28', '30', '29']","['29', '27', '28']"
CHAD ANHELIGER,CODYGIBSON,11/02/2024,"['26', '27', '27']","['30', '30', '30']"
JAKE HADLEY,MALCOLM GORDON,03/18/2023,"['-', '-', '-']","['-', '-', '-']"
DITMANAZAITAR,FRANCISCOPRADO,07/15/2023,"['-', '-', '-']","['-', '-', '-']"
PAULOCOSTA,MARVIN VETTOR,10/23/2021,"['4746', '47.46', '746']","['48', '48', '48']"
VIACHESLAVBORSHCHEV,JAMES LLONTOP,08/24/2024,"['30', '29', '28']","['27', '28', '29']"
MATEUSZ GAMROT,DAN HOOKER,08/18/2024,"['28', '28', '29']","['29', '29', '28']"
ALBERT DURAEV,ROMAN KOPYLOV,10/30/2021,"['29', '30', '29']","['27', '27', '27']"
JALIN TURNER,DAN HOOKER,07/08/2023,"['29', '28', '28']","['28', '29', '29']"
ERICKGONZALEZ,TREVOR PEEK,02/25/2023,"['-', '-', '-']","['-', '-', '-']"
VIKTORIA DUDAKOVA,SAM HUGHES,08/03/2024,"['30', '28', '28']","['27', '29', '29']"
JESSICA ANDRADE,ERIN BLANCHEIELD,02/18/2023,"['10', '9', '9']","['9', '10', '10']"
CIRYL GANE,ALEXANDERVOLKOV,06/26/2021,"['50', '50', '49']","['45', '45', '46']"
ROXANNEMODAFFERI,VIVIANE ARAUJO,01/20/2021,"['27', '27', '26']","['30', '30', '30']"
VICENTE LUQUE,GEOFF NEAL,08/06/2022,"['18', '18', '17']","['20', '20', '20']"
MARLON VERA,DOMINICK CRUZ,08/13/2022,"['28', '28', '28']","['29', '29', '29']"
NIKO PRICE,MICHELPEREIRA,07/10/2021,"['28', '28', '28']","['29', '29', '29']"
DEMIAN MAIA,BELAL MUHAMMAD,06/12/2021,"['27', '28', '28']","['30', '29', '29']"
TREVOR PEEK,CHARLIE CAMPBELL,04/06/2024,"['27', '27', '27']","['30', '30', '30']"
ROMANDOLIDZE,LAUREANO STAROPOLI,06/05/2021,"['30', '30', '30']","['27', '27', '27']"
TATSURO TAIRA,CARLOS HERNANDEZ,12/09/2023,"['10', '10', '10']","['9', '9', '8']"
BRENDAN ALLEN,PAUL CRAIG,11/18/2023,"['20', '20', '20']","['18', '17', '17']"
MATT FREVOLA,TERRANCEMCKINNEY,06/12/2021,"['-', '-', '-']","['-', '-', '-']"
DYLAN BUDKA,CESAR ALMEIDA,04/06/2024,"['10', '10', '10']","['9', '9', '9']"
DAN HOOKER,MICHAELCHANDLER,01/24/2021,"['-', '-', '-']","['-', '-', '-']"
TAGIR ULANBEKOV,CODY DURDEN,12/16/2023,"['10', '10', '10']","['9', '9', '9']"
GABEGREEN,PHILIP ROWE,02/13/2021,"['30', '29', '29']","['27', '28', '28']"
KEVIN AGUILAR,TUCKERLUTZ,05/15/2021,"['27', '30', '28']","['30', '28', '29']"
KATLYN.CHOOKAGIAN,MANON FIOROT,10/23/2022,"['28', '28', '28']","['29', '29', '29']"
NICKMAXIMOV,JACOB MALKOUN,10/15/2022,"['27', '27', '27']","['30', '30', '30']"
DIEGO FERREIRA,GREGOR GILLESPIE,05/08/2021,"['10', '10', '10']","['9', '9', '9']"
SHANE BURGOS,EDSON BARBOZA,05/15/2021,"['18', '19', '18']","['20', '19', '20']"
JESSICA ANDRADE,MARINA RODRIGUEZ,04/13/2024,"['29', '28', '29']","['28', '29', '28']"
MAURICIO RUFFY,JAMIEMULLARKEY,05/04/2024,"['-', '-', '-']","['-', '-', '-']"
IKRAM ALISKEROV,WARLLEY ALVES,10/21/2023,"['-', '-']","['-', '-']"
TREVIN GILES,LOUIS COSCE,09/17/2022,"['29', '30', '29']","['28', '27', '28']"
JAKE COLLIER,CHRIS BARNETT,09/10/2022,"['10', '10', '10']","['8', '8', '9']"
DENNIS BUZUKJA,JAMALL EMMERS,11/11/2023,"['-', '-', '-']","['-', '-', '-']"
MICHEL PEREIRA,IHOR POTIERIA,05/04/2024,"['-', '-', '-']","['-', '-', '-']"
MICHELPEREIRA,KHAOS WILLIAMS,12/19/2020,"['29', '29', '29']","['28', '28', '28']"
CHRISTIANRODRIGUEZ,CAMERON SAAIMAN,10/14/2023,"['30', '29', '30']","['27', '28', '27']"
IUNIOR DOS SANTOS,CIRYL GANE,12/12/2020,"['9', '9', '9']","['10', '10', '10']"
KYUNG HO KANG,BATGEREL DANAA,06/12/2022,"['29', '29', '29']","['28', '28', '28']"
ALEXANDERHERNANDEZ,MIKE BREEDEN,10/02/2021,"['-', '-', '-']","['-', '-', '-']"
STEPHANIEEGGER,SHANNA YOUNG,10/02/2021,"['10', '10', '10']","['9', '9', '9']"
DOOHO CHOI,KYLENELSON,02/04/2023,"['29', '28', '28']","['27', '28', '28']"
JEFF MOLINA,ZHALGASZHUMAGULOV,06/04/2022,"['28', '29', '30']","['29', '28', '27']"
PAUL CRAIG,OHNNYWALKER,01/21/2023,"['-', '-', '-']","['-', '-', '-']"
SAID NURMAGOMEDOV,MARK STRIEGL,10/18/2020,"['-', '-', '-']","['-', '-', '-']"
THOMASALMEIDA,JONATHAN MARTINEZ,10/18/2020,"['27', '27', '27']","['30', '30', '30']"
JUNYONG PARK,DENISTIULIULIN,02/04/2023,"['-', '-', '-']","['-', '-', '-']"
JAN BLACHOWICZ,ALEKSANDARRAKIC,05/14/2022,"['19', '19', '19']","['19', '19', '19']"
MICHAEL CHANDLER,TONY FERGUSON,05/07/2022,"['9', '9', '9']","['10', '10', '10']"
NICOLASDALBY,MUSLIM SALIKHOV,06/17/2023,"['29', '30', '30']","['28', '27', '27']"
BRENDAN ALLEN,BRUNO SILVA,06/24/2023,"['-', '-', '-']","['-', '-', '-']"
ANDREFILI,JOANDERSON BRITO,04/30/2022,"['-', '-']","['-', '-']"
JARED GORDON,GRANT DAWSON,04/30/2022,"['18', '18', '18']","['20', '20', '20']"
NEIL MAGNY,PHIL ROWE,06/24/2023,"['28', '29', '29']","['29', '28', '28']"
JIMMYFLICK,ALESSANDRO COSTA,06/17/2023,"['9', '9', '9']","['10', '10', '10']"
MAURICIO RUA,OVINCE SAINT PREUX,05/07/2022,"['29', '28', '27']","['28', '29', '30']"
MATEUSZ GAMROT,GURAM KUTATELADZE,10/18/2020,"['29', '28', '28']","['28', '29', '29']"
ELISE REED,SAM HUGHES,05/21/2022,"['18', '17', '18']","['20', '20', '20']"
SEUNGGUK CHOI,HYUNSUNG PARK,02/04/2023,"['19', '19', '18']","['19', '19', '20']"
LAUREN MURPHY,JESSICA ANDRADE,01/21/2023,"['25', '26', '25']","['30', '30', '30']"
MARLON MORAES,CORY SANDHAGEN,10/11/2020,"['9', '9', '9']","['10', '10', '10']"
DOUGLAS SILVA DEANDRADE,GAETANO PIRRELLO,10/02/2021,"['-', '-', '-']","['-', '-', '-']"
JOHNNY MUNOZ,TONY GRAVELY,06/04/2022,"['-', '-', '-']","['-', '-', '-']"
MARCIN TYBURA,BLAGOY IVANOV,02/04/2023,"['29', '29', '30']","['28', '28', '27']"
BRENDAN ALLEN,JACOB MALKOUN,06/12/2022,"['29', '29', '29']","['28', '28', '28']"
MISHA CIRKUNOV,KRZYSZTOFJOTKO,10/02/2021,"['28', '29', '28']","['29', '28', '29']"
CUB SWANSON,DANIEL PINEDA,12/12/2020,"['10', '10', '10']","['9', '9', '8']"
MARLON MORAES,ROB FONT,12/19/2020,"['-', '-', '-']","['-', '-', '-']"
DARREN ELKINS,TJBROWN,10/14/2023,"['19', '20', '20']","['19', '18', '18']"
JAILTON ALMEIDA,DERRICK LEWIS,11/04/2023,"['50', '50', '50']","['44', '44', '45']"
NORMA DUMONT,DANYELLE WOLF,09/10/2022,"['30', '30', '30']","['27', '26', '27']"
PAUL CRAIG,CAIO BORRALHO,05/04/2024,"['9', '9', '9']","['10', '10', '10']"
DIONE BARBOSA,ERNESTA KARECKAITE,05/04/2024,"['29', '29', '29']","['28', '28', '28']"
DENISE GOMES,LOMA LOOKBOONMEE,09/17/2022,"['27', '27', '28']","['30', '30', '29']"
SAIDNURMAGOMEDOV,MUIN GAFUROV,10/21/2023,"['-', '-', '-']","['-', '-', '-']"
JALIN TURNER,RENATO MOICANO,04/13/2024,"['10', '10', '10']","['9', '9', '9']"
KATLYNCHOOKAGIAN,VIVIANE ARAUJO,05/15/2021,"['29', '29', '30']","['28', '28', '27']"
DOUGLAS SILVA DEANDRADE,SERGEYMOROZOV,02/12/2022,"['9', '9', '8']","['10', '10', '10']"
MANA MARTINEZ,BRANDON DAVIS,10/15/2022,"['29', '29', '28']","['28', '28', '29']"
MAURICEGREENE,MARCOSROGERIO DE LIMA,05/08/2021,"['26', '27', '26']","['30', '30', '30']"
GINA MAZANY,PRISCILA CACHOEIRA,05/15/2021,"['10', '10', '10']","['9', '9', '9']"
BENEIL DARIUSH,MATEUSZ GAMROT,10/23/2022,"['30', '30', '29']","['27', '27', '28']"
TONY GRAVELY,SAIMON OLIVEIRA,01/22/2022,"['30', '30', '30']","['27', '27', '27']"
ANDREFILI,LUCASALMEIDA,12/16/2023,"['-', '-', '-']","['-', '-', '-']"
ALISTAIR OVEREEM,ALEXANDER VOLKOV,02/06/2021,"['9', '9', '9']","['10', '10', '10']"
JESSICA EYE,JOANNE CALDERWOOD,01/24/2021,"['28', '27', '27']","['29', '30', '30']"
MICHAELMORALES,JAKEMATTHEWS,11/18/2023,"['29', '29', '30']","['28', '28', '27']"
MELISSA MULLINS,NORA CORNOLLE,04/06/2024,"['9', '10', '9']","['10', '9', '10']"
CHASE HOOPER,STEVEN PETERSON,06/12/2021,"['27', '28', '27']","['30', '29', '30']"
SANTIAGOPONZINIBBIOS,MIGUEL BAEZA,06/05/2021,"['29', '29', '29']","['28', '28', '28']"
COURT MCGEE,ALEXMORONO,04/06/2024,"['28', '28', '28']","['29', '29', '29']"
RAYANNEAMANDA,TALITA ALENCAR,12/09/2023,"['28', '29', '28']","['29', '28', '29']"
LEON EDWARDS,NATE DIAZ,06/12/2021,"['49', '49', '49']","['46', '46', '46']"
CODY STAMANN,SAID NURMAGOMEDOV,01/22/2022,"['-', '-', '-']","['-', '-', '-']"
DANIELDA SILVA,VICTOR ALTAMIRANO,08/20/2022,"['-', '-', '-']","['-', '-', '-']"
CARLOS CONDIT,MAXGRIFFIN,07/10/2021,"['28', '28', '27']","['29', '29', '30']"
IKEVILLANUEVA,VINICIUSMOREIRA,01/20/2021,"['10', '10', '9']","['9', '9', '10']"
ZHALGASZHUMAGULOV,JEROMERIVERA,07/10/2021,"['-', '-', '-']","['-', '-', '-']"
TIM ELLIOTT,TAGIR ULANBEKOV,03/05/2022,"['29', '29', '29']","['28', '28', '28']"
THIAGOSANTOS,JAMAHAL HILL,08/06/2022,"['29', '29', '28']","['28', '28', '29']"
JORDAN WRIGHT,ZAC PAUGA,02/18/2023,"['27', '28', '27']","['30', '29', '30']"
JASMINE JASUDAVICIUS,GABRIELLAFERNANDES,02/25/2023,"['30', '30', '30']","['26', '26', '26']"
JAI HERBERT,ROLANDO BEDOYA,08/03/2024,"['30', '30', '29']","['27', '27', '28']"
ELIZEUZALESKLDOSSANTOS,BENOITSAINTDENIS,10/30/2021,"['29', '29', '29']","['26', '26', '26']"
TAI TUIVASA,AIRZINHO ROZENSTRUIK,08/18/2024,"['30', '28', '27']","['27', '29', '30']"
BONICKAL,VAL WOODBURN,07/08/2023,"['-', '-', '-']","['-', '-', '-']"
ALBERT DURAEV,JUNYONG PARK,07/15/2023,"['9', '10', '6']","['10', '9', '10']"
COLBYCOVINGTON,JORGE MASVIDAL,03/05/2022,"['49', '50', '50']","['46', '44', '45']"
JACOUELINE CAVALCANTI,JOSIANE NUNES,08/24/2024,"['30', '29', '27']","['27', '28', '30']"
GRANT DAWSON,RICKY GLENN,10/23/2021,"['29', '28', '28']","['28', '28', '28']"
JACKDELLA MADDALENA,PETE RODRIGUEZ,01/22/2022,"['-', '-', '-']","['-', '-', '-']"
CHRISTIAN DUNCAN,DUSKO TODOROVIC,03/18/2023,"['-', '-', '-']","['-', '-', '-']"
CHAD ANHELIGER,CODYGIBSON,11/02/2024,"['26', '27', '27']","['30', '30', '30']"
MAXGRIFFIN,MICHAELMORALES,07/01/2023,"['28', '28', '28']","['29', '29', '29']"
MARVIN VETTORI,ROMAN DOLIDZE,03/18/2023,"['29', '29', '30']","['28', '28', '27']"
LANDO VANNATA,CHARLES JOURDAIN,04/23/2022,"['-', '-', '-']","['-', '-', '-']"
ALEXANDERHERNANDEZ,RENATOMOICANO,02/12/2022,"['10', '9', '9']","['9', '10', '10']"
RAFA GARCIA,NATAN LEVY,11/20/2021,"['29', '29', '29']","['28', '28', '28']"
PAT SABATINI,TILARAMIE,04/16/2022,"['30', '30', '30']","['26', '26', '26']"
MANA MARTINEZ,CAMERON SAAIMAN,03/04/2023,"['26', '28', '27']","['3Q29', '228', '228']"
BRAD TAVARES,JUNYONG PARK,10/12/2024,"['28', '28', '29']","['29', '29', '28']"
VINC PICHEL,MARKMADSEN,04/09/2022,"['27', '28', '27']","['30', '29', '30']"
BENROTHWELL,MARCOS ROGERIO DELIMA,11/13/2021,"['-', '-', '-']","['-', '-', '-']"
ABUS MAGOMEDOV,BRUNNO FERREIRA,10/26/2024,"['19', '19', '19']","['19', '19', '19']"
RAPHAEL,DAVEYGRANT,03/11/2023,"['20', '19', '20']","['18', '19', '18']"
MELISSA MARTINEZ,ALICE ARDELEAN,10/19/2024,"['30', '30', '30']","['27', '27', '27']"
-,-,04/09/2022,"['-', '-', '-']","['-', '-', '-']"
VIVIANE ARAUJO,AMANDA RIBAS,03/04/2023,"['27', '26', '27']","['29', '30', '30']"
PETR YAN,CORY SANDHAGEN,10/30/2021,"['49', '49', '49']","['46', '46', '46']"
KAMUELA KIRK,ESTEBAN RIBOVICS,07/08/2023,"['28', '28', '28']","['29', '29', '29']"
TYSON PEDRO,IKEVILLANUEVA,04/23/2022,"['-', '-', '-']","['-', '-', '-']"
AMANDA LEMOS,JESSICA ANDRADE,04/23/2022,"['-', '-', '-']","['-', '-', '-']"
BRUNNOFERREIRA,NURSULTONRUZIBOEV,07/01/2023,"['-', '-', '-']","['-', '-', '-']"
LERONEMURPHY,GABRIEL SANTOS,03/18/2023,"['28', '29', '29']","['29', '28', '28']"
ROSENAMAIUNAS,ZHANG WEILI,11/06/2021,"['49', '48', '47']","['46', '47', '48']"
HU YAOZONG,ANDREPETROSKI,10/30/2021,"['18', '17', '17']","['20', '20', '20']"
DRICUSDUPLESSIS,ISRAEL ADESANYA,08/18/2024,"['28', '29', '29']","['29', '28', '28']"
MARCIN TYBURA,SERGHEISPIVAC,08/10/2024,"['-', '-', '-']","['-', '-', '-']"
MOLLYMCCANN,JULIJA STOLIARENKO,07/22/2023,"['-', '-', '-']","['-', '-', '-']"
DANNY ROBERTS,JONNY PARSONS,07/22/2023,"['10', '9', '10']","['9', '10', '9']"
AZAMAT MURZAKANOV,ALONZOMENIFIELD,08/03/2024,"['10', '10', '10']","['9', '9', '9']"
OMARLAKHMEDOV,BRAD TAVARES,07/10/2021,"['29', '28', '28']","['28', '29', '29']"
LERONEMURPHY,DOUGLAS SILVA DE ANDRADE,01/20/2021,"['29', '29', '30']","['28', '28', '27']"
AMIR ALBAZI,ZHALGASZHUMAGULOV,01/24/2021,"['29', '29', '29']","['28', '28', '28']"
JOSEALDO,MERABDVALISHVILI,08/20/2022,"['28', '27', '28']","['29', '30', '29']"
CHARLES JOHNSON,RAFAEL ESTEVAM,11/18/2023,"['28', '28', '28']","['29', '29', '29']"
CASEY O'NEILL,LARA PROCOPIO,06/19/2021,"['19', '19', '19']","['19', '19', '19']"
JULIA AVILA,JULIJA STOLIARENKO,06/26/2021,"['18', '19', '20']","['20', '19', '18']"
STEVE ERCEG,ALESSANDRO COSTA,11/11/2023,"['29', '29', '29']","['28', '28', '28']"
FARESZIAM,MICHALFIGLAK,09/03/2022,"['30', '29', '30']","['27', '28', '27']"
LUANA PINHEIRO,AMANDA RIBAS,11/18/2023,"['19', '19', '19']","['19', '19', '19']"
SERGHEI SPIVAC,JARED VANDERAA,02/20/2021,"['10', '10', '10']","['9', '9', '9']"
JAREDGORDON,DANNY CHAVEZ,02/20/2021,"['30', '29', '30']","['27', '28', '27']"
